iter	Passed	Remaining
310	10403	6322
311	10436	6288
312	10464	6252
313	10518	6230
314	10548	6195
315	10580	6160
316	10613	6126
317	10660	6101
318	10688	6064
319	10725	6032
320	10755	5997
321	10789	5964
322	10819	5928
323	10853	5895
324	10886	5861
325	10917	5826
326	10950	5793
327	10998	5767
328	11028	5732
329	11059	5697
330	11089	5662
331	11123	5629
332	11157	5595
333	11205	5569
334	11236	5534
335	11285	5508
336	11316	5473
337	11363	5446
338	11393	5411
339	11444	5385
340	11474	5350
341	11537	5330
342	11568	5295
343	11618	5268
344	11650	5234
345	11694	5204
346	11723	5169
347	11752	5133
348	11779	5096
349	11817	5064
350	11847	5029
351	11893	5000
352	11922	4964
353	11952	4929
354	11981	4893
355	12012	4858
356	12043	4824
357	12077	4790
358	12106	4754
359	12158	4728
360	12193	4695
361	12238	4665
362	12270	4630
363	12331	4607
364	12361	4572
365	12398	4539
366	12447	4510
367	12506	4485
368	12535	4450
369	12571	4416
370	12599	4380
371	12632	4346
372	12662	4311
373	12691	4275
374	12719	4239
375	12760	4208
376	12788	4172
377	12818	4137
378	12848	4101
379	12902	4074
380	12934	4039
381	12982	4010
382	13012	3975
383	13043	3940
384	13071	3904
385	13109	3871
386	13138	3836
387	13174	3802
388	13205	3768
389	13250	3737
390	13278	3701
391	13306	3666
392	13350	3634
393	13398	3604
394	13428	3569
395	13507	3547
396	13533	3511
397	13587	3482
398	13616	3446
399	13654	3413
400	13684	3378
401	13715	3343
